M,log_MF,dlog_MF_u,dlog_MF_l
-26.625, -6.728, 0.131, 0.189
-26.375, -6.432, 0.09, 0.113
-26.125, -5.875, 0.052, 0.06
-25.875, -5.421, 0.035, 0.039
-25.625, -4.922, 0.024, 0.025
-25.375, -4.528, 0.018, 0.018
-25.125, -4.124, 0.013, 0.013
-24.875, -3.747, 0.01, 0.01
-24.625, -3.437, 0.008, 0.008
-24.375, -3.147, 0.007, 0.007
-24.125, -2.909, 0.006, 0.006
-23.875, -2.721, 0.006, 0.006
-23.625, -2.582, 0.006, 0.006
-23.375, -2.469, 0.006, 0.006
-23.125, -2.401, 0.006, 0.006
-22.875, -2.358, 0.007, 0.007
-22.625, -2.314, 0.008, 0.008
-22.375, -2.274, 0.009, 0.009
-22.125, -2.254, 0.01, 0.011
-21.875, -2.262, 0.012, 0.013
-21.625, -2.258, 0.014, 0.015
-21.375, -2.232, 0.016, 0.017
-21.125, -2.198, 0.019, 0.019
-20.875, -2.164, 0.021, 0.022
-20.625, -2.151, 0.024, 0.026
-20.375, -2.192, 0.03, 0.033
-20.125, -2.142, 0.034, 0.036
-19.875, -2.096, 0.038, 0.041
-19.625, -2.081, 0.043, 0.048
-19.375, -2.130, 0.053, 0.061 
-19.125, -2.027, 0.055, 0.063
-18.875, -2.117, 0.072, 0.086
-18.625, -2.053, 0.079, 0.097
-18.375, -1.970, 0.082, 0.102
-18.125, -1.855, 0.086, 0.107
-17.875, -2.051, 0.119, 0.165
-17.625, -2.055, 0.139, 0.206
-17.375, -2.003, 0.161, 0.257
-17.125, -2.153, 0.232, 0.533
