M,log_MF,dlog_MF_u,dlog_MF_l
-25.875, -6.932, 0.149, 0.228
-25.625, -6.233, 0.074, 0.089
-25.375, -5.823, 0.05, 0.057
-25.125, -5.354, 0.033, 0.036
-24.875, -4.853, 0.022, 0.023
-24.625, -4.444, 0.016, 0.017
-24.375, -4.080, 0.012, 0.013
-24.125, -3.695, 0.009, 0.01
-23.875, -3.396, 0.008, 0.008
-23.625, -3.115, 0.007, 0.007
-23.375, -2.878, 0.006, 0.006
-23.125, -2.712, 0.006, 0.006
-22.875, -2.558, 0.006, 0.006
-22.625, -2.455, 0.006, 0.006
-22.375, -2.381, 0.006, 0.006
-22.125, -2.356, 0.007, 0.007
-21.875, -2.306, 0.008, 0.008
-21.625, -2.261, 0.009, 0.009
-21.375, -2.256, 0.010, 0.011
-21.125, -2.249, 0.012, 0.013
-20.875, -2.245, 0.014, 0.015
-20.625, -2.239, 0.017, 0.017
-20.375, -2.205, 0.019, 0.02
-20.125, -2.146, 0.021, 0.022
-19.875, -2.157, 0.025, 0.026
-19.625, -2.159, 0.029, 0.031
-19.375, -2.150, 0.034, 0.037
-19.125, -2.024, 0.035, 0.038
-18.875, -2.143, 0.046, 0.051
-18.625, -2.115, 0.052, 0.058
-18.375, -2.047, 0.057, 0.066
-18.125, -2.102, 0.070, 0.083
-17.875, -2.071, 0.084, 0.104
-17.625, -1.897, 0.076, 0.093
-17.375, -2.060, 0.106, 0.141
-17.125, -1.801, 0.103, 0.135
-16.875, -2.065, 0.139, 0.206
-16.625, -2.112, 0.161, 0.257
-16.375, -1.974, 0.198, 0.374
-16.125, -2.212, 0.232, 0.533
