M,log_MF,dlog_MF_u,dlog_MF_l
-17.625, -1.958, 0.139,0.206
-17.875, -1.757, 0.106, 0.141
-18.125, -1.858, 0.106, 0.141
-18.375, -1.809, 0.084, 0.104
-18.625, -1.916, 0.081, 0.099
-18.875, -1.932, 0.071, 0.084
-19.125, -2.056, 0.067, 0.079
-19.375, -2.044, 0.057, 0.066
-19.625, -2.056, 0.05, 0.056
-19.875, -1.957, 0.038, 0.042
-20.125, -2.037, 0.036, 0.039
-20.375, -2.139, 0.034, 0.037
-20.625, -2.143, 0.029, 0.031
-20.875, -2.084, 0.023, 0.024
-21.125, -2.147, 0.021, 0.022
-21.375, -2.222, 0.02, 0.02
-21.625, -2.189, 0.016, 0.017
-21.875, -2.222, 0.014, 0.014
-22.125, -2.222, 0.012, 0.012
-22.375, -2.23, 0.01,  0.01
-22.625, -2.24, 0.009, 0.009
-22.875, -2.292, 0.008, 0.008
-23.125, -2.314, 0.007, 0.007
-23.375, -2.357, 0.006, 0.006
-23.625, -2.435, 0.006, 0.006
-23.875, -2.547, 0.005, 0.005
-24.125, -2.696, 0.005, 0.005
-24.375, -2.871, 0.006, 0.006
-24.625, -3.1, 0.006, 0.006 
-24.875, -3.382, 0.007, 0.007
-25.125, -3.680, 0.009, 0.009
-25.375, -4.027, 0.011, 0.011
-25.625, -4.383, 0.014, 0.014
-25.875, -4.770, 0.019, 0.02
-26.125, -5.233, 0.027, 0.029
-26.375, -5.68, 0.041, 0.045
-26.625, -6.149, 0.069, 0.082
-26.875, -6.504, 0.103, 0.135
-27.125, -6.818, 0.139, 0.206
-27.375, -7.295, 0.232, 0.533
